exclude,mid,tid,winner,loser,5-0,winnerbet,loserbet,bets,duration
0,9104,73,gato,cartman,0,17412,6596,63,3
0,9105,73,super androide 17 hd,cable,0,5858,30828,65,2
0,9106,73,rikuo,nenaikodareda,0,20434,576,63,2
0,9107,73,tien,blockhead,0,15116,44435,64,2
0,9108,73,jamian di corvus,reimi jyahana,0,19456,5661,64,2
0,9109,73,tails,hisui&kohaku,0,11774,21074,71,3
0,9110,73,hol 'butt king' funtimes,thunder megazord,0,20995,12083,68,4
0,9111,73,super-8,megazord,0,68706,4778,70,2
0,9112,73,frog,diablo,0,8220,71629,71,2
0,9113,73,crilin sposato,neyufeulle,0,18149,6187,65,2
0,9114,73,chiel,kouryu,0,18596,21254,66,3
0,9115,73,duke nukem,waha-,0,45945,7434,80,2
0,9116,73,myuu,chibi naruto,0,25473,4938,74,2
