exclude,mid,tid,winner,loser,5-0,winnerbet,loserbet,bets,duration
0,9117,73,ami bf,guy gardner,0,9059,6419,68,2
0,9118,73,ssj goku,rouge,0,20193,753,64,3
0,9119,73,goku nex,mr.karate,0,25895,7626,72,2
0,9120,73,neji,kagome,0,32595,6822,67,2
0,9121,73,harley quinn,mega lilde,0,11260,4662,67,3
0,9122,73,morph,shin ryu,0,34250,5718,66,2
0,9123,73,krizalid,magus,0,44221,2172,71,2
0,9124,73,_aug_alessi,recoome,0,8992,2385,62,3
0,9125,73,ami bf,warmachine,0,8949,9097,69,3
0,9126,73,mb-02,sailor mars,0,73266,3375,69,1
0,9127,73,future trunks,_aug_sol,0,12974,20734,71,1
0,9128,73,trevor spacer,cell,0,21286,16397,71,2
0,9129,73,hisame shizumaru,eiji kisaragi,0,8974,6702,63,1
